role,p,mor,ks,n,val
Liar,0.5,0,6,100,7.300462809783447
Liar,0.5,0,7,100,7.2904782746395185
Liar,0.5,0,8,100,8.041239855535347
Liar,0.5,0,9,100,9.002503585352564
Liar,0.5,0,10,100,9.999012562033643
Liar,0.5,1,0,100,9.358948752646585
Liar,0.5,1,1,100,9.347817179886817
Liar,0.5,1,2,100,9.30345766517481
Liar,0.5,1,3,100,9.136641674112674
Liar,0.5,1,4,100,8.597140344825917
Liar,0.5,1,5,100,7.4926276028328935
Liar,0.5,1,6,100,6.769026055880529
Liar,0.5,1,7,100,7.14636548234822
Liar,0.5,1,8,100,8.019766793922182
Liar,0.5,1,9,100,9.00118590477816
Liar,0.5,1,10,100,9.99953341884646
Liar,0.5,2,0,100,9.354583625331966
Liar,0.5,2,1,100,9.330419826927809
Liar,0.5,2,2,100,9.236154890174344
Liar,0.5,2,3,100,8.89761628599921
Liar,0.5,2,4,100,7.958117134638028
Liar,0.5,2,5,100,6.681650244530663
Liar,0.5,2,6,100,6.412320691416732
Liar,0.5,2,7,100,7.0713876547755
Liar,0.5,2,8,100,8.009402485040706
Liar,0.5,2,9,100,9.00056091993991
Liar,0.5,2,10,100,9.99977956952184
Liar,0.5,3,0,100,9.34535607207255
Liar,0.5,3,1,100,9.29382782902888
Liar,0.5,3,2,100,9.097689162510802
Liar,0.5,3,3,100,8.448354493722952
Liar,0.5,3,4,100,7.058179035120422
Liar,0.5,3,5,100,5.99578595880767
Liar,0.5,3,6,100,6.208037870320213
Liar,0.5,3,7,100,7.034247491338479
Liar,0.5,3,8,100,8.004456143275888
Liar,0.5,3,9,100,9.000265124850158
Liar,0.5,3,10,100,9.999895868617159
Liar,0.5,4,0,100,9.32588127940783
Liar,0.5,4,1,100,9.21741342471166
Liar,0.5,4,2,100,8.821360275909374
Liar,0.5,4,3,100,7.691735327408639
Liar,0.5,4,4,100,6.064478966285215
Liar,0.5,4,5,100,5.534385489166543
Liar,0.5,4,6,100,6.101538346550239
Liar,0.5,4,7,100,7.016297533366467
Liar,0.5,4,8,100,8.002108234429375
Liar,0.5,4,9,100,9.00012527296886
Liar,0.5,4,10,100,9.999950810166823
Liar,0.5,5,0,100,9.284919764883536
Liar,0.5,5,1,100,9.06020097021261
Liar,0.5,5,2,100,8.301955979257182
Liar,0.5,5,3,100,6.625788938569638
Liar,0.5,5,4,100,5.223118835110948
Liar,0.5,5,5,100,5.2697665286861275
Liar,0.5,5,6,100,6.048728834661401
Liar,0.5,5,7,100,7.0077255161210354
Liar,0.5,5,8,100,8.000996597772177
Liar,0.5,5,9,100,9.000059182988004
Liar,0.5,5,10,100,9.999976763999703
Liar,0.5,6,0,100,9.199380489541603
Liar,0.5,6,1,100,8.74645672299608
Liar,0.5,6,2,100,7.427123122342344
Liar,0.5,6,3,100,5.448244131169045
Liar,0.5,6,4,100,4.6566148088251555
Liar,0.5,6,5,100,5.131702400546891
Liar,0.5,6,6,100,6.0231927257960125
Liar,0.5,6,7,100,7.003655355096578
Liar,0.5,6,8,100,8.000470924380478
Liar,0.5,6,9,100,9.000027957900214
Liar,0.5,6,10,100,9.999989024008444
Liar,0.5,7,0,100,9.023394450896658
Liar,0.5,7,1,100,8.156711699529588
Liar,0.5,7,2,100,6.194455095220375
Liar,0.5,7,3,100,4.450779923897674
Liar,0.5,7,4,100,4.331537042394858
Liar,0.5,7,5,100,5.063213250589785
Liar,0.5,7,6,100,6.010994921114528
Liar,0.5,7,7,100,7.001728027375821
Liar,0.5,7,8,100,8.00022248574524
Liar,0.5,7,9,100,9.000013206786695
Liar,0.5,7,10,100,9.999994815290366
Liar,0.5,8,0,100,8.672182796495774
Liar,0.5,8,1,100,7.163366808399843
Liar,0.5,8,2,100,4.832490579613387
Liar,0.5,8,3,100,3.778938622899259
Liar,0.5,8,4,100,4.1618764218077615
Liar,0.5,8,5,100,5.030088613742053
Liar,0.5,8,6,100,6.005202482936271
Liar,0.5,8,7,100,7.0008165661189805
Liar,0.5,8,8,100,8.000105103041951
Liar,0.5,8,9,100,9.000006238535734
Liar,0.5,8,10,100,9.999997550912491
Liar,0.5,9,0,100,8.012004809702486
Liar,0.5,9,1,100,5.763632391737359
Liar,0.5,9,2,100,3.6786099263140657
Liar,0.5,9,3,100,3.3933316329919387
Liar,0.5,9,4,100,4.07769996167935
Liar,0.5,9,5,100,5.014264482361593
Liar,0.5,9,6,100,6.002459458579769
Liar,0.5,9,7,100,7.000385786343325
Liar,0.5,9,8,100,8.000049648995379
Liar,0.5,9,9,100,9.000002946896021
Liar,0.5,9,10,100,9.999998843132063
Liar,0.5,10,0,100,6.900009036758096
Liar,0.5,10,1,100,4.21697006543532
Liar,0.5,10,2,100,2.901311112782207
Liar,0.5,10,3,100,3.192056181242238
Liar,0.5,10,4,100,4.036985021574659
Liar,0.5,10,5,100,5.006749645753717
Liar,0.5,10,6,100,6.001162208214553
Liar,0.5,10,7,100,7.000182247701834
Liar,0.5,10,8,100,8.000023452933986
Liar,0.5,10,9,100,9.000001392019668
Liar,0.5,10,10,100,9.999999453534077
Liar,0.5,11,0,100,5.333047745259467
Liar,0.5,11,1,100,2.9065217570183473
Liar,0.5,11,2,100,2.455138632552969
Liar,0.5,11,3,100,3.0921879946236155
Liar,0.5,11,4,100,4.017534160443396
Liar,0.5,11,5,100,5.003190897600248
Liar,0.5,11,6,100,6.000549087021081
Liar,0.5,11,7,100,7.000086091096538
Liar,0.5,11,8,100,8.000011078472884
Liar,0.5,11,9,100,9.000000657544549
Liar,0.5,11,10,100,9.999999741867729
Liar,0.5,12,0,100,3.601558109063516
Liar,0.5,12,1,100,2.0237071909438678
Liar,0.5,12,2,100,2.222238898879425
Liar,0.5,12,3,100,3.0438817288837465
Liar,0.5,12,4,100,4.008296834728946
Liar,0.5,12,5,100,5.001507852055487
Liar,0.5,12,6,100,6.000259392379493
Liar,0.5,12,7,100,7.000040667308242
Liar,0.5,12,8,100,8.000005233120419
Liar,0.5,12,9,100,9.000000310602278
Liar,0.5,12,10,100,9.999999878066937
Liar,0.5,13,0,100,2.134471713508528
Liar,0.5,13,1,100,1.5169516466402932
Liar,0.5,13,2,100,2.106676709116833
Liar,0.5,13,3,100,3.0208039058330973
Liar,0.5,13,4,100,4.003922342466673
Liar,0.5,13,5,100,5.000712388088414
Liar,0.5,13,6,100,6.0001225332016626
Liar,0.5,13,7,100,7.000019210044393
Liar,0.5,13,8,100,8.000002471955598
Liar,0.5,13,9,100,9.000000146718179
Liar,0.5,13,10,100,9.999999942402898
Liar,0.5,14,0,100,1.1461142608188881
Liar,0.5,14,1,100,1.2524230504767315
Liar,0.5,14,2,100,2.0507785906132217
Liar,0.5,14,3,100,3.0098440387741956
Liar,0.5,14,4,100,4.001853497201817
Liar,0.5,14,5,100,5.000336537144092
Liar,0.5,14,6,100,6.000057881683385
Liar,0.5,14,7,100,7.000009074219977
Liar,0.5,14,8,100,8.000001167670158
Liar,0.5,14,9,100,9.000000069304772
Liar,0.5,14,10,100,9.999999972793054
Liar,0.5,15,0,100,0.5787674635879413
Liar,0.5,15,1,100,1.1211657540006261
Liar,0.5,15,2,100,2.0240736859301625
Liar,0.5,15,3,100,3.004653790701134
Liar,0.5,15,4,100,4.000875689447124
Liar,0.5,15,5,100,5.000158975326188
Liar,0.5,15,6,100,6.000027341616099
Liar,0.5,15,7,100,7.000004286366383
Liar,0.5,15,8,100,8.000000551568554
Liar,0.5,15,9,100,9.000000032737258
Liar,0.5,15,10,100,9.999999987148348
Liar,0.5,16,0,100,0.28260787034597334
Liar,0.5,16,1,100,1.0576755272019698
Liar,0.5,16,2,100,2.0113912505904286
Liar,0.5,16,3,100,3.002199143100233
Liar,0.5,16,4,100,4.000413681973718
Liar,0.5,16,5,100,5.000075096062856
Liar,0.5,16,6,100,6.000012915319577
Liar,0.5,16,7,100,7.000002024737979
Liar,0.5,16,8,100,8.000000260542587
Liar,0.5,16,9,100,9.000000015463986
Liar,0.5,16,10,100,9.999999993929311
Liar,0.5,17,0,100,0.13565495285998166
Liar,0.5,17,1,100,1.02734348285271
Liar,0.5,17,2,100,2.005385240672362
Liar,0.5,17,3,100,3.0010389909737083
Liar,0.5,17,4,100,4.000195417465224
Liar,0.5,17,5,100,5.000035473188772
Liar,0.5,17,6,100,6.000006100777177
Liar,0.5,17,7,100,7.000000956418917
Liar,0.5,17,8,100,8.000000123071615
