role,p,mor,ks,n,val,se
Detector2,0.5,19,1,100,1.7107558998554887e-6,1.7107529731697398e-7
Detector2,0.5,19,2,100,3.6304329039344332e-6,3.630419723891363e-7
Detector2,0.5,19,3,100,7.76424850728054e-6,7.764188223725657e-7
Detector2,0.5,19,4,100,2.1257472918443633e-5,2.1257021038288755e-6
Detector2,0.5,19,5,100,7.885357285603112e-5,7.884735497007896e-6
Detector2,0.5,19,6,100,4.0266737327254064e-4,4.025052322590424e-5
Detector2,0.5,19,7,100,0.0028006204504584277,2.7927769755509016e-4
Detector2,0.5,19,8,100,0.022398488123107654,0.0021896795852906657
Detector2,0.5,19,9,100,0.090208420965184,0.008207086175215216
Detector2,0.5,19,10,100,0.301848925719802,0.021073615176160344
Detector,0.8,0,0,100,0.19968474214820012,0.015981074590140695
Detector,0.8,0,1,100,0.3186369776664771,0.02171074541300501
Detector,0.8,0,2,100,0.37277114171937364,0.023381281762060828
Detector,0.8,0,3,100,0.3889005193541815,0.023765690540022942
Detector,0.8,0,4,100,0.3923031302814313,0.023840138425282167
Detector,0.8,0,5,100,0.3903038593349775,0.02379667567231996
Detector,0.8,0,6,100,0.3877171622292981,0.023739256434215823
Detector,0.8,0,7,100,0.3826743970507953,0.023623470289260557
Detector,0.8,0,8,100,0.3754845577027006,0.023449590462950788
Detector,0.8,0,9,100,0.3864783125949767,0.02371128264887162
Detector,0.8,0,10,100,0.38897660158788183,0.023767380500502408
Liar,0.8,0,0,100,7.231184920652402,0.30307571698247243
Liar,0.8,0,1,100,6.412809929171016,0.4023244604538808
Liar,0.8,0,2,100,6.630234035713143,0.37541504896139666
Liar,0.8,0,3,100,7.010857296782623,0.3285463678023524
Liar,0.8,0,4,100,7.407995957985088,0.27960087549155616
Liar,0.8,0,5,100,7.80656872866934,0.23031338499316595
Liar,0.8,0,6,100,8.202638437196073,0.1807652627409446
Liar,0.8,0,7,100,8.590016919939059,0.13054258691047346
Liar,0.8,0,8,100,8.959252400574519,0.0791531138981062
Liar,0.8,0,9,100,9.341200652693097,0.029326944108088376
Liar,0.8,0,10,100,9.894312412343337,0.009628075369156597
Detector2,0.8,0,0,100,0.5624647793205182,0.024609815134443897
Detector2,0.8,0,1,100,0.5805560217523507,0.02435107273594348
Detector2,0.8,0,2,100,0.5757942567394472,0.024425523064531475
Detector2,0.8,0,3,100,0.5699807464313976,0.024510269512890443
Detector2,0.8,0,4,100,0.5592878973010342,0.0246484945233622
Detector2,0.8,0,5,100,0.5314912344388945,0.024900830215351458
Detector2,0.8,0,6,100,0.4746504787311493,0.02493574017714401
Detector2,0.8,0,7,100,0.3920975194319706,0.023835705468726605
Detector2,0.8,0,8,100,0.33368211713613016,0.022233836183968007
Detector2,0.8,0,9,100,0.36708763149133844,0.023233430229741774
Detector2,0.8,0,10,100,0.49565412733829056,0.024998111339080815
Detector,0.8,11,0,100,0.031517180887516066,0.003052384819641966
Detector,0.8,11,1,100,0.03154165966893421,0.003054678337426334
Detector,0.8,11,2,100,0.03157103053065728,0.0030574300561889587
Detector,0.8,11,3,100,0.03162958904198114,0.003062915813901653
Detector,0.8,11,4,100,0.03179532468381571,0.0030784382012066453
Detector,0.8,11,5,100,0.03217362383607351,0.003113848176532835
Detector,0.8,11,6,100,0.03291675626655659,0.00318332434234447
Detector,0.8,11,7,100,0.0350210599782843,0.0033794585336281713
Detector,0.8,11,8,100,0.044615440040335,0.004262490255034227
Detector,0.8,11,9,100,0.18995308057714555,0.0153870907756398
Detector,0.8,11,10,100,0.5125766214295269,0.024984182859341834
Liar,0.8,11,0,100,9.216806091395103,0.059879509575438326
Liar,0.8,11,1,100,9.094583532091935,0.0650269383265371
Liar,0.8,11,2,100,8.667179918879015,0.08218600972705424
Liar,0.8,11,3,100,7.572085868164786,0.11429761357644659
Liar,0.8,11,4,100,6.168032014836107,0.10473603033032916
Liar,0.8,11,5,100,5.644912406425644,0.043187632294058975
Liar,0.8,11,6,100,6.132618696879032,0.010012839087185598
Liar,0.8,11,7,100,7.022011428208921,0.0017887246336130737
Liar,0.8,11,8,100,8.002853150501355,2.57987640927041e-4
Liar,0.8,11,9,100,9.00005296442558,1.1738824716619422e-5
Liar,0.8,11,10,100,9.999988395163195,9.86036112040035e-7
Detector2,0.8,11,0,100,8.7851577886565e-4,8.777439888919341e-5
Detector2,0.8,11,1,100,8.54007745208534e-4,8.532784159796579e-5
Detector2,0.8,11,2,100,8.773151713653548e-4,8.76545489455447e-5
Detector2,0.8,11,3,100,0.001072474242584281,1.0713240415832741e-4
Detector2,0.8,11,4,100,0.0017637599939488902,1.7606491446326358e-4
Detector2,0.8,11,5,100,0.003196681704172065,3.1864629302542766e-4
Detector2,0.8,11,6,100,0.005601642540301794,5.570264141152475e-4
Detector2,0.8,11,7,100,0.011499225946575972,0.0011366993749205565
Detector2,0.8,11,8,100,0.030617237484345396,0.002967982225317259
Detector2,0.8,11,9,100,0.09809982950518904,0.008847625295624188
Detector2,0.8,11,10,100,0.2468565472129177,0.01859183923110342
Detector,0.8,19,0,100,0.029139202093096415,0.00282901089944741
Detector,0.8,19,1,100,0.029139372990788157,0.0028290269932491883
Detector,0.8,19,2,100,0.029140317463308987,0.002829115936144656
Detector,0.8,19,3,100,0.029145062899462088,0.002829562820804849
Detector,0.8,19,4,100,0.029164187554585608,0.002831363771886656
Detector,0.8,19,5,100,0.029210659915324434,0.002835739726263569
Detector,0.8,19,6,100,0.029294237998103774,0.002843608561821423
Detector,0.8,19,7,100,0.029509538472030708,0.0028638725611198445
Detector,0.8,19,8,100,0.030365026720621614,0.002944299187287755
Detector,0.8,19,9,100,0.035725604467026786,0.003444928565249234
Detector,0.8,19,10,100,0.08638612890351786,0.007892356563658266
Liar,0.8,19,0,100,4.501829155137936,0.08764456669093867
Liar,0.8,19,1,100,2.46854386992805,0.04272443841650427
Liar,0.8,19,2,100,2.3387052012781004,0.011188467714392913
Liar,0.8,19,3,100,3.0681417814268412,0.0023352304694657174
Liar,0.8,19,4,100,4.012981944226459,4.522509458908735e-4
Liar,0.8,19,5,100,5.0023744470957405,8.399956066993497e-5
Liar,0.8,19,6,100,6.000412137907752,1.490297278565518e-5
Liar,0.8,19,7,100,7.000065639267455,2.4658500534084087e-6
Liar,0.8,19,8,100,8.000008758407702,3.5821731117491964e-7
Liar,0.8,19,9,100,9.000000637377086,3.7287050546006005e-8
Liar,0.8,19,10,100,9.99999988270431,2.5476258140397693e-9
Detector2,0.8,19,0,100,2.829594737605554e-7,2.8295939369449164e-8
Detector2,0.8,19,1,100,1.77322605050122e-6,1.7732229061705937e-7
Detector2,0.8,19,2,100,8.133687349229323e-6,8.13362119235943e-7
Detector2,0.8,19,3,100,3.443038444969068e-5,3.442919899831732e-6
Detector2,0.8,19,4,100,1.23840410212316e-4,1.2382507376511445e-5
Detector2,0.8,19,5,100,3.065682186740808e-4,3.064742346013798e-5
Detector2,0.8,19,6,100,5.858554510330045e-4,5.855122244234995e-5
Detector2,0.8,19,7,100,0.0012462157366980268,1.2446626830356328e-4
Detector2,0.8,19,8,100,0.003661664358504738,3.648256572630394e-4
Detector2,0.8,19,9,100,0.016133263538610183,0.0015872981346203934
Detector2,0.8,19,10,100,0.06927908766798765,0.006447949567987894
Detector,0.2,-5,0,100,0.44079240720119595,0.024649446095497102
Detector,0.2,-5,1,100,0.5393573380561968,0.024845099994113024
Detector,0.2,-5,2,100,0.45021688644114943,0.02475216416043866
Detector,0.2,-5,3,100,0.4596614984670862,0.024837280529407913
Detector,0.2,-5,4,100,0.4853388215458471,0.024978504984633547
Detector,0.2,-5,5,100,0.5687476011724666,0.024527376733303147
Detector,0.2,-5,6,100,0.5846752815292904,0.02428300966979354
Detector,0.2,-5,7,100,0.6069124372695165,0.02385697307570917
Detector,0.2,-5,8,100,0.621822903452258,0.023515918019446184
Detector,0.2,-5,9,100,0.6349572856659271,0.023178653104568535
Detector,0.2,-5,10,100,0.6485775208324965,0.022792472030326905
Liar,0.2,-5,0,100,6.396609520724702,0.25661971670057715
Liar,0.2,-5,1,100,6.3182582687885995,0.26081879771761574
Liar,0.2,-5,2,100,6.162744760694921,0.27280810873074823
Liar,0.2,-5,3,100,6.150845053394237,0.2700551134871199
Liar,0.2,-5,4,100,5.884691050403468,0.29056630912573395
Liar,0.2,-5,5,100,6.715667025761919,0.2210331117241892
Liar,0.2,-5,6,100,7.330638814262752,0.17130595404699916
Liar,0.2,-5,7,100,7.963341297368511,0.12205676573559125
Liar,0.2,-5,8,100,8.587977367381317,0.07374375777983143
Liar,0.2,-5,9,100,9.173270140344165,0.023922051077124078
Liar,0.2,-5,10,100,9.732273853493668,0.03383761743783948
Detector2,0.2,-5,0,100,0.9823525513229312,0.0017336016232259023
Detector2,0.2,-5,1,100,0.8100206715009135,0.015388718324212267
Detector2,0.2,-5,2,100,0.644007850217334,0.02292617390757819
Detector2,0.2,-5,3,100,0.6121000547438045,0.0237433577726436
Detector2,0.2,-5,4,100,0.6104575763269646,0.02377991238319728
Detector2,0.2,-5,5,100,0.4711984909336926,0.02491704730755034
Detector2,0.2,-5,6,100,0.5010723590582347,0.02499988500460502
Detector2,0.2,-5,7,100,0.5111410163472465,0.02498758777547504
Detector2,0.2,-5,8,100,0.5097552252643552,0.024990483558004168
Detector2,0.2,-5,9,100,0.5045494805942456,0.024997930222632258
Detector2,0.2,-5,10,100,0.4975074618547068,0.02499937872535942
Detector,0.2,-4,0,100,0.43514888333114987,0.02457943326668032
Detector,0.2,-4,1,100,0.47936332215357486,0.024957412752746284
Detector,0.2,-4,2,100,0.47188139430552684,0.024920934401379873
Detector,0.2,-4,3,100,0.4898144486229695,0.024989625454314587
Detector,0.2,-4,4,100,0.5084815229928221,0.024992806376772224
Detector,0.2,-4,5,100,0.5544266932593996,0.02470377350608472
Detector,0.2,-4,6,100,0.5498411106143185,0.024751586369273125
Detector,0.2,-4,7,100,0.5561671204457213,0.024684525458083584
Detector,0.2,-4,8,100,0.5605015193785627,0.02463395661528854
Detector,0.2,-4,9,100,0.5644197323425633,0.02458500980849125
Detector,0.2,-4,10,100,0.5682766688690635,0.024533829648814426
Liar,0.2,-4,0,100,6.996990737485674,0.25089910119759035
Liar,0.2,-4,1,100,6.846488971414447,0.2645193349335945
Liar,0.2,-4,2,100,6.676387760491806,0.2851046865264039
Liar,0.2,-4,3,100,6.729344325199396,0.2754705382812752
Liar,0.2,-4,4,100,6.782557056782924,0.26317423054992295
Liar,0.2,-4,5,100,6.883845495888618,0.25190615334381267
Liar,0.2,-4,6,100,7.649062174051413,0.18096456160965385
Liar,0.2,-4,7,100,8.160509509390549,0.1347672279160338
Liar,0.2,-4,8,100,8.745443206560266,0.08740010912597303
Liar,0.2,-4,9,100,9.344772952318152,0.040349866782412355
Liar,0.2,-4,10,100,9.60307418151457,0.046356035398384884
Detector2,0.2,-4,0,100,0.9645325250032547,0.0034209533214100544
Detector2,0.2,-4,1,100,0.7401311534935111,0.01923370291218758
Detector2,0.2,-4,2,100,0.5877160455320203,0.024230589535622453
Detector2,0.2,-4,3,100,0.5716556254073564,0.024486547134748064
Detector2,0.2,-4,4,100,0.5763577328886429,0.024416949662810668
Detector2,0.2,-4,5,100,0.5639507989051347,0.024591029531939503
Detector2,0.2,-4,6,100,0.5697405165035039,0.02451362603578245
Detector2,0.2,-4,7,100,0.5718957054196236,0.02448310075422147
Detector2,0.2,-4,8,100,0.5703916238258652,0.02450450192951579
Detector2,0.2,-4,9,100,0.5662116526871377,0.024561601704843786
Detector2,0.2,-4,10,100,0.5556812833508502,0.024689959468440235
Detector,0.2,-3,0,100,0.40312648806363405,0.024061552268511477
Detector,0.2,-3,1,100,0.42612654729829774,0.024454271298592935
Detector,0.2,-3,2,100,0.47147224913721,0.02491861674307106
Detector,0.2,-3,3,100,0.4965449053192076,0.024998806232074677
Detector,0.2,-3,4,100,0.5159905831435877,0.024974430125072798
Detector,0.2,-3,5,100,0.5772449436784682,0.024403321867611027
Detector,0.2,-3,6,100,0.602714869409659,0.02394496556021567
Detector,0.2,-3,7,100,0.6084065997158463,0.023824800913804827
Detector,0.2,-3,8,100,0.6117241894584342,0.02375177054898559
Detector,0.2,-3,9,100,0.6147542603861541,0.023683145972322676
Detector,0.2,-3,10,100,0.6180333183579332,0.02360681357574148
Liar,0.2,-3,0,100,6.943252665612038,0.2480009077555912
Liar,0.2,-3,1,100,6.771531181876753,0.26629435372578475
