role,p,decay,ks,n,val,se,mor
Detector,0.2,NA,3,50,0.527688269542962,0.03524691975255771,-3
Detector,0.2,NA,4,50,0.5284000140415586,0.03524127413744849,-3
Detector,0.2,NA,5,50,0.5303734761203076,0.03522487106267165,-3
Detector,0.2,NA,6,50,0.5329100309751292,0.03520216981140041,-3
Detector,0.2,NA,7,50,0.531886162511618,0.035211552097192574,-3
Detector,0.2,NA,8,50,0.5226625653310101,0.03528270620088972,-3
Detector,0.2,NA,9,50,0.4693039741777366,0.035222085351917023,-3
Detector,0.2,NA,10,50,0.27887675146523105,0.028440472402198023,-3
Liar,0.2,NA,0,50,0.3693839643441136,0.0558564281830813,-3
Liar,0.2,NA,1,50,0.5194736450564053,0.06604704976843692,-3
Liar,0.2,NA,2,50,1.0357615872297095,0.13235357523296937,-3
Liar,0.2,NA,3,50,1.5274424015367394,0.2021169816987385,-3
Liar,0.2,NA,4,50,2.0101456383679164,0.2731174136830863,-3
Liar,0.2,NA,5,50,2.490687778316589,0.34441351859335284,-3
Liar,0.2,NA,6,50,2.9705654722679724,0.4157376429540955,-3
Liar,0.2,NA,7,50,3.4473270383764403,0.48662211726791266,-3
Liar,0.2,NA,8,50,3.889292830668386,0.5523370590324512,-3
Liar,0.2,NA,9,50,3.882340601570103,0.5513031807892331,-3
Liar,0.2,NA,10,50,2.462726672427251,0.34022111313927644,-3
Detector2,0.2,NA,0,50,0.6166897094935256,0.03342967681651385,-3
Detector2,0.2,NA,1,50,0.6183230830025834,0.03337539029575545,-3
Detector2,0.2,NA,2,50,0.6201511702327509,0.03331373740984596,-3
Detector2,0.2,NA,3,50,0.6314148255757019,0.03291301254788977,-3
Detector2,0.2,NA,4,50,0.6433199532414229,0.032450458277013865,-3
Detector2,0.2,NA,5,50,0.6567733499804176,0.03187950147467856,-3
Detector2,0.2,NA,6,50,0.6705370839234425,0.03124239632325161,-3
Detector2,0.2,NA,7,50,0.676932019448605,0.030928152057439078,-3
Detector2,0.2,NA,8,50,0.6802975403463756,0.030758126315814323,-3
Detector2,0.2,NA,9,50,0.6890756523597792,0.030299581814956573,-3
Detector2,0.2,NA,10,50,0.760949831819899,0.025725278007930258,-3
Detector,0.2,NA,0,50,0.4906258816870316,0.03534291178575519,-2
Detector,0.2,NA,1,50,0.4896451578121343,0.03534017547165032,-2
Detector,0.2,NA,2,50,0.48953317745531366,0.03533984573114884,-2
Detector,0.2,NA,3,50,0.48968813407932316,0.035340301078983366,-2
Detector,0.2,NA,4,50,0.49025374088225665,0.03534190550596351,-2
Detector,0.2,NA,5,50,0.4917518025076921,0.03534571777387485,-2
